               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,              0.0224,           0.0065243,            0.001702,             0.45585,             0.37969,             0.40009,             0.28218,            0.058058,           0.0073299,            0.013899,            0.003466,            0.003466,            0.003466
                 134,            0.023305,           0.0066173,           0.0016922,             0.41332,              0.4452,             0.40908,             0.29873,            0.057502,           0.0074177,            0.013422,           0.0034165,           0.0034165,           0.0034165
                 135,            0.021834,           0.0073811,           0.0018154,             0.40701,             0.45372,             0.37556,             0.26739,            0.058881,           0.0074322,             0.01264,            0.003367,            0.003367,            0.003367
                 136,            0.024275,           0.0068617,           0.0029196,             0.41188,             0.44256,             0.37542,             0.26771,            0.058191,           0.0075481,            0.012569,           0.0033175,           0.0033175,           0.0033175
                 137,            0.019678,           0.0055057,           0.0015045,             0.40576,             0.45158,              0.3691,             0.24827,            0.059174,            0.007538,            0.012813,            0.003268,            0.003268,            0.003268
                 138,            0.021024,           0.0070315,           0.0014897,             0.47269,             0.38485,             0.35317,             0.24715,             0.05869,           0.0076741,             0.01328,           0.0032185,           0.0032185,           0.0032185
                 139,            0.022753,           0.0059092,           0.0015119,             0.47529,              0.3848,              0.3607,             0.24933,            0.058293,           0.0077566,            0.013651,            0.003169,            0.003169,            0.003169
                 140,            0.024302,            0.006593,            0.001572,              0.4722,             0.38485,             0.35247,             0.24887,            0.056664,           0.0079132,            0.013906,           0.0031195,           0.0031195,           0.0031195
                 141,            0.020936,           0.0063183,           0.0018977,             0.39444,             0.43266,             0.36777,             0.26892,            0.057733,           0.0077013,             0.01357,             0.00307,             0.00307,             0.00307
                 142,            0.020841,           0.0066685,            0.001609,             0.39422,             0.42932,             0.35791,             0.25655,            0.057562,           0.0077375,            0.014641,           0.0030205,           0.0030205,           0.0030205
                 143,            0.021581,            0.006567,           0.0014405,             0.38937,             0.42084,              0.3583,             0.25537,            0.057783,           0.0077402,             0.01552,            0.002971,            0.002971,            0.002971
                 144,            0.021644,           0.0068379,            0.001402,             0.38392,             0.42279,             0.35764,             0.25209,            0.057291,           0.0077574,             0.01574,           0.0029215,           0.0029215,           0.0029215
                 145,            0.019391,           0.0063161,           0.0014715,             0.39791,             0.44824,             0.36045,             0.25251,            0.058317,           0.0076388,            0.016313,            0.002872,            0.002872,            0.002872
                 146,            0.020281,           0.0063388,           0.0014664,             0.41718,             0.45181,             0.36049,             0.25964,            0.058137,           0.0075158,             0.01597,           0.0028225,           0.0028225,           0.0028225
                 147,            0.021258,           0.0051759,           0.0013463,             0.40074,             0.43791,             0.35893,             0.26223,            0.057757,           0.0073384,            0.015768,            0.002773,            0.002773,            0.002773
                 148,            0.019883,           0.0064676,           0.0015115,             0.42051,             0.44953,             0.36598,             0.26457,            0.057531,           0.0074062,            0.015554,           0.0027235,           0.0027235,           0.0027235
                 149,            0.020186,           0.0072189,           0.0014185,             0.41959,             0.45025,             0.37219,             0.26165,            0.058759,           0.0073041,             0.01547,            0.002674,            0.002674,            0.002674
                 150,            0.021319,           0.0062545,           0.0013979,             0.41859,             0.45013,             0.41367,             0.30976,            0.057711,           0.0073228,            0.014762,           0.0026245,           0.0026245,           0.0026245
                 151,            0.019054,           0.0063035,           0.0013644,             0.41549,             0.45172,             0.38601,             0.27747,            0.057403,           0.0074179,            0.014501,            0.002575,            0.002575,            0.002575
                 152,            0.018608,           0.0063156,           0.0014946,              0.4063,             0.44991,             0.37774,             0.27521,            0.056677,           0.0075396,             0.01462,           0.0025255,           0.0025255,           0.0025255
                 153,            0.019647,            0.006495,           0.0014696,             0.39895,             0.45188,              0.3747,             0.27887,             0.05838,           0.0075916,             0.01473,            0.002476,            0.002476,            0.002476
